from_name,message,created_time,link,likes_count,comments_count,shares_count,title,z_like,z_comments,z_shares,date,time
噪咖,"身邊有這種困擾的朋友嗎？（奔）

<U+202A>#生活 <U+202C>
#噪咖同樂會<U+202C>
#頭髮分編
Bella.tw儂儂
更多精彩好文<U+25BA>http://bit.ly/1QfWGMk",2017-01-01T07:45:00+0000,http://www.ebcbuzz.com/watch/29994,1238,10,26,《舉重妖精金福珠》李聖經變舉重力士後！柔霧妝感讓她美成這樣,-0.134871747,-0.18620664,-0.300538396,101,7
噪咖,"最近要去韓國玩的朋友，可以拍「請回答1988」了XD

#生活<U+202C> 
#噪咖同樂會<U+202C>
#頭髮分編
美麗佳人 Marie Claire Taiwan
更多精彩好文<U+25BA>http://bit.ly/1jgDAbV",2017-01-01T07:00:00+0000,http://www.ebcbuzz.com/watch/210117,284,0,5,首爾特搜！8個超適合拍 IG 美照的復古餐廳！,-0.457925096,-0.243350634,-0.339627047,101,7
噪咖,"小編最受不了左邊一直發抱怨文的，快承認你們是哪種人！

#FUN圖生活
#在權志龍身編

圖片經 Onion man授權使用",2017-01-01T05:45:00+0000,http://www.ebcbuzz.com/watch/210111,4396,97,236,自拍照配深度文才是王道？臉書好友動態神解析，快看你是哪一種！,0.934522884,0.3109461,0.090348108,101,5
噪咖,"看到這種小物就是想來佈置下啊（荷包第一天就失血）

#噪咖同樂會
#生活
#想要住海編
Japaholic
更多精彩好文<U+25B6>http://bit.ly/1XUuxh5",2017-01-01T05:00:00+0000,http://www.ebcbuzz.com/watch/210268,232,1,5,想有新年味但不想花大錢佈置？日本當地人推薦3COINS新春商品特輯：款式都不俗！,-0.475533874,-0.237636234,-0.339627047,101,5
噪咖,"有才又有愛的GD，男神已經不足形容他了<ed><U+00A0><U+00BD><ed><U+00B1><U+00BC>

G-DRAGON iKON YG-Family BIGBANG 【Taiwan <U+2665> YG Family - YG家族台灣第一粉絲團】

#同樂會好文推
#娛樂
#隨便亂編

MasterHands 高手娛樂 多媒體線上雜誌
更多精彩好文<U+25BA>http://bit.ly/1WCkyJo",2017-01-01T04:45:01+0000,http://www.ebcbuzz.com/watch/23562,3577,15,80,【出道9年 G-Dragon首次幫別人創歌 直接送給....】歐霸太有才了 這一波新歌肯定討論度又要破表!,0.657184631,-0.157634644,-0.200024724,101,4
噪咖,"大家有用過嗎？歡迎給評價參考xD

#生活
#噪咖同樂會
#想要住海編
4meee！
更多精彩好文<U+25BA>http://bit.ly/2feZ3nr",2017-01-01T04:00:01+0000,http://www.ebcbuzz.com/watch/210058,319,1,11,只要有這個誰都能做可愛的便當，在DAISO大創能買到的便當小物4精選,-0.446073034,-0.237636234,-0.328458861,101,4
噪咖,"這款免油煎的蛋捲~你吃過就會徹底愛上

#影音好文推
#生活
#隨便亂編",2017-01-01T02:45:00+0000,http://www.ebcbuzz.com/watch/12798,2901,32,410,《日式玉子蛋》三分鐘免開火，懶人做法連碗都不用洗！？,0.428270518,-0.060489856,0.414225498,101,2
噪咖,"好厲害的設計～以後停電都不用怕了啦！

#影音好文推
#生活
#隨便亂編",2017-01-01T02:00:00+0000,http://www.ebcbuzz.com/watch/13458,9667,52,683,回收再利用的極致！這個設計讓你買一根蠟燭就能用一輩子？,2.719443434,0.053798131,0.922377954,101,2
噪咖,"阿不然大家都都怎麼吃？

#生活
#影音好文推
#頭髮分編",2017-01-01T01:26:08+0000,http://www.ebcbuzz.com/watch/14959,1819,9,80,三角巧克力原來要這樣吃才正確阿...其實三角造型早就告訴我們答案了！,0.061872484,-0.19192104,-0.200024724,101,1
噪咖,"大家還有看過哪些超厲害的贈品嗎?

#噪咖同樂會
#生活
#想要住海編
Japaholic
更多精彩好文<U+25B6>http://bit.ly/1XUuxh5",2017-01-01T01:00:00+0000,http://www.ebcbuzz.com/watch/210267,877,7,43,買日雜竟然贈品送”星巴克聯名隨行卡”？！精選3本2017年必蒐集的日本雜誌：贈品控快筆記,-0.257117301,-0.203349838,-0.268895203,101,1
噪咖,"白雪公主根本是惡搞吧<ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

Disney Snow White Frozen Beauty and the Beast Sleeping Beauty Cinderella  

#影音好文推
#生活
#隨便亂編",2017-01-01T00:00:00+0000,http://www.ebcbuzz.com/watch/23536,497,2,8,當愛麗兒也剪了最IN的睡不醒頭...《短髮迪士尼公主》又會帶起一陣短髮風潮！,-0.385796833,-0.231921835,-0.334042954,101,0
噪咖,"就趁電視廣告時這樣站吧，2017年一起變瘦<ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>

#生活
#噪咖同樂會
#想要住海編
4meee！
更多精彩好文<U+25BA>http://bit.ly/2feZ3nr",2016-12-31T15:00:01+0000,http://www.ebcbuzz.com/watch/210057,2648,17,924,1天10次，超有話題的「踏四股」的超牛減肥法,0.34259704,-0.146205845,1.370966752,1231,15
噪咖,"這一年過得如何呢？
<U+2460>跟去年一樣
<U+2461>空窗期又多一年了
<U+2462>很充實
<U+2463>自己填入

#生活
<U+202A>#特約專欄<U+202C>
<U+202A><U+202A>#頭髮分編<U+202C><U+202C>",2016-12-31T14:00:00+0000,http://www.ebcbuzz.com/watch/210132,217,2,13,【塔羅占卜】我2016該感謝自己甚麼呢？,-0.480613329,-0.231921835,-0.324736132,1231,14
噪咖,"聊天到一半突然沒話題時，大家都是用什麼招數不讓氣氛冷掉的?

#生活 
#噪咖同樂會
#想要住海編
AWE 情感工作室
更多精彩好文<U+25BA>http://bit.ly/2e9ZPxT",2016-12-31T13:00:01+0000,http://www.ebcbuzz.com/watch/29957,961,4,37,沒話題了好尷尬？除了擅用「嘴砲力」還有另外這招可以延續你的聊天生命力！,-0.228672352,-0.220493036,-0.280063389,1231,13
噪咖,"不能同意更多了！你也有這樣的”好朋友”嗎？

#FUN圖生活
#在權志龍身編

圖片經ZhuangN授權使用",2016-12-31T12:45:00+0000,http://www.ebcbuzz.com/watch/210110,785,67,35,跌倒時先笑完再扶你的就是閨密！TOP8好姊妹才有的特徵，朋友不用多有個閨蜜就值得,-0.288271293,0.13951412,-0.283786117,1231,12
噪咖,"最近打算出國大血拼的朋友小心被罰！！！

#生活 <U+202A><U+202C>
#噪咖同樂會<U+202C>
#頭髮分編

eztravel 易遊網
更多精彩好文<U+25B6>http://on.fb.me/1PYldHq",2016-12-31T12:00:00+0000,http://www.ebcbuzz.com/watch/29960,381,2,33,《無法入境的物品7大類》血拼前先注意：原來名牌包不能一次帶多個？小心被罰啊！,-0.425077953,-0.231921835,-0.287508846,1231,12
噪咖,"選對點去才有機會巧遇啊！（作足功課）

#歐巴我來了
#噪咖選選書
#頭髮分編",2016-12-31T10:45:00+0000,http://www.ebcbuzz.com/watch/29911,1053,8,54,EXO迷一定知道他們最愛喝這家珍奶店！特搜跟人氣男團EXO撞星的TOP5美食全攻略,-0.197518361,-0.197635439,-0.248420196,1231,10
噪咖,"今天的跨年大餐就決定吃牛排了<ed><U+00A0><U+00BC><ed><U+00BD><U+0096>

#影音好文推
#生活
#隨便亂編",2016-12-31T09:45:00+0000,http://www.ebcbuzz.com/watch/23259,661,6,29,真的不用多做什麼！只要抹鹽廉價牛肉馬上變身高檔菲力牛？,-0.330261456,-0.209064238,-0.294954303,1231,9
噪咖,"原來反派腳色私下這麼辣XD

#FUN圖生活
#好文推
#在權志龍身編",2016-12-31T09:00:00+0000,http://www.ebcbuzz.com/watch/28019,363,1,6,黑魔女的胸前尺度也太大！原來迪士尼反派女角私下就靠這招將王子搶過來的？,-0.431173299,-0.237636234,-0.337765682,1231,9
噪咖,"這裡好適合拍婚紗啊<ed><U+00A0><U+00BD><ed><U+00B2><U+0091>

#生活
#噪咖同樂會
<U+202A>#頭髮分編<U+202C><U+202C>
商業周刊 alive
更多精彩好文<U+25B6>http://bit.ly/22NCZmG",2016-12-31T08:45:00+0000,http://www.ebcbuzz.com/watch/210184,326,0,3,遺世獨立的童話小村就在這？冬天是大地一片雪白，去過都不會後悔！,-0.443702622,-0.243350634,-0.343349775,1231,8
噪咖,"大家最近還有作哪些指甲彩繪？←拍照分享

<U+202A>#生活 <U+202C>
#噪咖同樂會<U+202C>
#頭髮分編

Bella.tw儂儂
更多精彩好文<U+25BA>http://bit.ly/1QfWGMk",2016-12-31T08:00:00+0000,http://www.ebcbuzz.com/watch/29993,331,3,12,誰說冬天指甲只能黑壓壓！韓國美甲師的「童趣指彩」打造繽紛LOOK,-0.44200947,-0.226207436,-0.326597497,1231,8
噪咖,"難怪小編每天起床臉都很腫←愛牽拖

#同樂會好文推
#生活
#隨便亂編

Japaholic
更多精彩好文<U+25B6>http://bit.ly/1GQzkVK",2016-12-31T07:45:00+0000,http://www.ebcbuzz.com/watch/22688,251,1,12,晚上睡覺穿錯壓力襪，早上會讓臉變浮腫？！ 壓力指數要這樣看才正確,-0.469099898,-0.237636234,-0.326597497,1231,7
噪咖,"茉莉真的是太美了啦～～完全不合理啊！

#FUN圖生活
#在權志龍身編",2016-12-31T07:00:00+0000,http://www.ebcbuzz.com/watch/210109,1014,1,30,從軍後的花木蘭竟然沒有小腿肌？迪士尼公主超逆天長腿，尤其睡美人的腿最不科學！,-0.210724944,-0.237636234,-0.293092939,1231,7
噪咖,"有人最近要去韓國玩的嗎？快加進去！

#生活 
#噪咖同樂會<U+202C>
#頭髮分編

美麗佳人 Marie Claire Taiwan
更多精彩好文<U+25BA>http://bit.ly/1jgDAbV",2016-12-31T06:00:00+0000,http://www.ebcbuzz.com/watch/29990,885,7,30,來首爾必吃！超人氣RYANCAFE餐廳新開幕、泡泡先生棉花糖太療癒,-0.254408259,-0.203349838,-0.293092939,1231,6
噪咖,"聽起來就感覺很好吃!有誰已經吃過的嗎?

#噪咖同樂會
#日本遊樂通
#想要住海編
Japaholic
更多精彩好文<U+25B6>http://bit.ly/1XUuxh5",2016-12-31T05:00:00+0000,http://www.ebcbuzz.com/watch/210246,1055,7,26,日本女生都在大推「甘酒布丁」！高話題人氣甜點伴手禮NO.1：口感吃起來像幕斯！,-0.1968411,-0.203349838,-0.300538396,1231,5
噪咖,"范冰冰.和 <U+9648>小春的替身跟本人根本是雙胞胎吧!!!

周潤發 Chow Yun fat 劉德華 趙麗穎台灣粉絲後援分會

#上菜好文推
#娛樂
#隨便亂編",2016-12-31T04:45:00+0000,http://www.ebcbuzz.com/watch/23327,859,2,13,他們肯定是上輩子結過緣的兄弟姊妹?！連老婆都認錯的大明星替身！,-0.263212648,-0.231921835,-0.324736132,1231,4
噪咖,"快tag身邊會做菜的朋友(叫他下次就做這些給你吃xD

#生活
#噪咖同樂會
#想要住海編
4meee！
更多精彩好文<U+25BA>http://bit.ly/2feZ3nr",2016-12-31T04:00:01+0000,http://www.ebcbuzz.com/watch/210056,385,0,18,吃了第2遍還是覺得很美味，3種利用剩下的奶油燉肉搭配製成的食譜,-0.423723431,-0.243350634,-0.315429311,1231,4
噪咖,"你們覺得蛋黃哥用成哪種料理最萌？

#同樂會好文推
#生活
#隨便亂編

Japaholic
更多精彩好文<U+25B6>http://bit.ly/1GQzkVK",2016-12-31T02:45:01+0000,http://www.ebcbuzz.com/watch/22407,2944,31,174,超療癒！蓋上培根後的蛋黃哥三明治，發懶模樣任誰都捨不得吃啊！,0.442831622,-0.066204255,-0.025056479,1231,2
噪咖,"也有在追《心裡的聲音》的喊聲又！←笑翻

#生活 <U+202A><U+202C>
#噪咖同樂會<U+202C>
#頭髮分編
【LOOKin】美人時髦話題網。看見女性新時尚
更多精彩好文<U+25B6>http://bit.ly/1NhnObA",2016-12-31T02:00:01+0000,http://www.ebcbuzz.com/watch/210037,355,5,4,Ｑ版大頭娃美妝超夯！李光珠主演《心裡的聲音》一推美妝就賣翻～和收視率一樣可愛爆棚！,-0.433882342,-0.214778637,-0.341488411,1231,2
噪咖,"大家快點試試<U+2764>

#生活
#影音好文推
#頭髮分編",2016-12-31T01:20:06+0000,http://www.ebcbuzz.com/watch/14964,8690,40,876,完全不需要工具！舊的螢光筆重複兩次同樣動作，就能變身「彩虹螢光筆」？,2.388601587,-0.014774661,1.281621266,1231,1
