from_name,message,created_time,link,likes_count,comments_count,shares_count,title,z_like,z_comments,z_shares,date,time
PTT01 娛樂新聞,好想念她的爽朗笑容~,2016-12-31T14:01:01+0000,http://cool.ptt01.cc/post_10293,1324,3,8,"
                        她被譽為是台灣的「女國寶」，92歲那年在睡夢中安詳離開人世，留下的不只是戲劇，還有人們更多的思念！
                    ",-0.154942664,-0.272659729,-0.350787544,1231,14
PTT01 娛樂新聞,有錢就是任性,2016-12-31T13:41:00+0000,http://cool.ptt01.cc/post_13031,2833,4,142,"
                        24年前花75萬買的法拉利升值成3億，他卻為「這原因」10多年不敢洗車
                    ",0.546543774,-0.25139496,-0.023034793,1231,13
PTT01 娛樂新聞,車主怎麼狠心將它棄於樹林中？！,2016-12-31T12:41:00+0000,http://cool.ptt01.cc/post_13029,624,2,14,"
                        這台經典古董車被棄置於樹林長達40年，嚴重鏽駛的它身價竟水漲船高至100倍
                    ",-0.480350554,-0.293924499,-0.336112048,1231,12
PTT01 娛樂新聞,電視台真的很白目耶...,2016-12-31T11:01:00+0000,http://cool.ptt01.cc/post_13026,761,1,4,"
                        超白目！電視台恭喜子瑜入圍「人氣最高韓星」，卻誤植「這張照片」引發眾怒...
                    ",-0.416663581,-0.315189268,-0.360571208,1231,11
PTT01 娛樂新聞,一顆白色汽球而已，竟然能帶來如此神奇的效果！,2016-12-31T06:01:00+0000,http://cool.ptt01.cc/post_12978,536,6,128,"
                        他在相機閃光燈前方放白色氣球看起來很蠢，但最後拍出的完美照片卻讓網友搶著學！
                    ",-0.521258974,-0.208865422,-0.057277618,1231,6
PTT01 娛樂新聞,每對夫妻的生活模式都不一樣嘛！,2016-12-31T03:01:00+0000,http://cool.ptt01.cc/post_13019,1327,4,2,"
                        艾莉絲跨國婚姻「亮紅燈」？！雙方互動冷冰冰，一年多沒PO跟老公的合照，背後原因曝光！
                    ",-0.153548058,-0.25139496,-0.36546304,1231,3
PTT01 娛樂新聞,人生無常<ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>,2016-12-30T23:01:00+0000,http://cool.ptt01.cc/post_13035,2012,53,240,"
                        他們終於如願把早產三胞胎帶回家過聖誕，沒想到一星期後媽媽就過世了...
                    ",0.164886805,0.790578734,0.21666498,1230,23
PTT01 娛樂新聞,果然是親哥<ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,2016-12-30T17:41:00+0000,http://cool.ptt01.cc/post_13016,3433,12,234,"
                        她從哥哥那收到「雪佛蘭超跑」大禮，但一打開車門後簡直讓人從天堂掉到地獄！
                    ",0.825464822,-0.081276806,0.201989484,1230,17
PTT01 娛樂新聞,看到「大褲衩」我笑了XD,2016-12-30T13:41:00+0000,http://cool.ptt01.cc/post_13006,405,1,22,"
                        中國「土豪金」建築被住戶抱怨「晚上扎眼到睡不著」，網友：有大褲衩醜嗎？
                    ",-0.582156736,-0.315189268,-0.316544719,1230,13
PTT01 娛樂新聞,媽媽是不會放下孩子不管的！,2016-12-30T12:00:00+0000,http://cool.ptt01.cc/post_12953,1140,8,84,"
                         牠不顧危險堅持衝進熱燙的火場，拼盡全力叼出一個個小毛球，最後的結局果然不負眾望…
                    ",-0.240478452,-0.166335883,-0.164897924,1230,12
